crop,soil_moisture,temperature,humidity,nitrogen,phosphorus,potassium,ph,action
Wheat,28.9,20.75,59.92,63.6,37.69,68.7,6.64,Monitor
Cotton,38.55,29.23,51.09,57.78,34.48,70.42,7.04,Optimal
Maize,54.19,27.21,67.43,96.8,46.69,87.23,6.39,Optimal
Tomato,45.7,27.08,65.5,71.35,44.45,92.77,6.7,Monitor
Potato,88.4,18.42,93.2,96.25,56.9,135.33,5.85,Harvest
Wheat,35.7,21.98,62.22,57.74,36.34,60.25,6.81,Monitor
Potato,60.93,21.41,73.46,29.6,53.78,121.17,5.74,Fertilize
Wheat,43.13,38.5,90.9,71.57,41.57,65.25,6.52,Apply Pesticide
Cotton,18.3,34.86,32.0,58.95,36.03,64.55,6.97,Irrigate
Rice,74.2,28.9,83.91,41.6,45.36,84.17,6.15,Fertilize
Tomato,49.6,26.73,64.92,80.54,43.95,81.5,6.77,Monitor
Sugarcane,51.9,30.25,73.52,99.21,39.1,103.23,6.93,Monitor
Maize,73.9,27.58,82.7,114.4,54.3,98.65,6.6,Harvest
Wheat,43.63,20.78,55.66,6.5,41.99,69.26,6.66,Fertilize
Soybean,47.49,24.97,68.63,41.43,17.3,81.28,6.6,Fertilize
Sugarcane,66.59,29.07,69.23,110.36,46.72,105.61,6.61,Optimal
Maize,19.8,30.87,22.2,96.76,48.74,83.82,6.25,Irrigate
Sugarcane,65.84,32.84,74.03,103.05,45.65,109.76,6.82,Optimal
Sugarcane,67.08,33.47,69.04,102.96,41.49,102.73,6.75,Optimal
Soybean,21.6,27.6,24.7,36.93,45.29,82.1,6.54,Irrigate
Soybean,23.1,26.66,27.7,38.48,42.62,84.32,6.52,Irrigate
Potato,60.29,33.6,90.2,79.63,58.87,120.71,5.67,Apply Pesticide
Wheat,47.36,20.14,55.86,8.3,40.35,68.07,6.6,Fertilize
Wheat,48.05,35.7,94.6,70.6,41.22,71.34,6.93,Apply Pesticide
Rice,66.08,26.24,83.04,79.69,44.11,78.65,6.23,Optimal
Tomato,43.7,25.87,70.41,76.49,45.47,83.91,6.35,Monitor
Sugarcane,64.84,33.3,77.41,104.01,47.85,111.48,6.49,Optimal
Soybean,49.54,23.05,69.71,37.62,43.53,82.94,6.24,Optimal
Cotton,42.04,31.3,55.92,63.78,37.19,74.4,6.85,Optimal
Maize,59.1,25.79,60.89,88.06,48.56,88.53,6.19,Optimal
Wheat,63.1,18.96,81.7,80.49,45.54,82.67,6.96,Harvest
Cotton,27.2,30.84,56.1,54.35,30.71,67.46,7.29,Monitor
Cotton,41.28,31.98,55.63,60.76,33.89,74.33,7.13,Optimal
Maize,79.1,28.09,89.7,105.34,51.67,94.84,6.43,Harvest
Potato,30.2,20.12,33.3,86.02,56.63,118.23,5.63,Irrigate
Cotton,72.1,32.64,75.6,64.39,37.09,79.72,6.8,Harvest
Cotton,41.49,31.65,59.14,15.6,32.27,69.67,7.14,Fertilize
Maize,76.8,27.44,81.5,102.08,52.72,103.89,6.48,Harvest
Wheat,48.08,20.0,63.73,69.49,38.57,74.66,6.69,Optimal
Maize,57.78,29.66,67.59,87.92,47.64,83.31,6.24,Optimal
Tomato,56.84,23.67,75.38,81.65,47.49,102.13,6.57,Optimal
Rice,71.13,43.1,95.0,80.51,46.37,78.99,6.43,Apply Pesticide
Cotton,10.4,31.7,32.9,58.65,34.86,66.08,6.71,Irrigate
Maize,36.6,29.02,34.2,100.11,49.94,88.66,6.46,Irrigate
Tomato,58.23,24.07,75.12,90.32,48.16,90.0,6.46,Optimal
Potato,45.8,22.18,69.92,72.47,52.84,112.33,5.53,Monitor
Soybean,41.1,27.43,64.39,37.63,41.56,70.17,6.55,Monitor
Tomato,63.41,36.7,91.7,91.68,46.42,90.03,6.6,Apply Pesticide
Cotton,27.3,33.02,52.31,50.59,30.18,60.63,7.06,Monitor
Sugarcane,57.5,31.79,66.93,92.06,43.11,99.15,6.91,Monitor
Cotton,39.2,32.11,59.36,57.64,32.96,69.05,6.7,Optimal
Soybean,71.3,24.33,85.9,43.94,48.2,90.63,6.41,Harvest
Soybean,19.1,27.32,31.7,38.94,42.27,80.17,6.53,Irrigate
Rice,50.5,30.37,28.4,80.91,47.95,73.68,6.41,Irrigate
Soybean,49.95,35.6,86.5,39.16,48.09,83.11,6.69,Apply Pesticide
Rice,65.64,28.5,75.23,78.69,47.14,75.52,6.11,Optimal
Wheat,43.31,20.05,59.81,71.17,39.87,74.87,6.61,Optimal
Potato,46.2,21.85,70.44,65.74,47.73,100.76,5.66,Monitor
Cotton,37.68,48.8,74.3,56.84,32.34,65.76,6.75,Apply Pesticide
Sugarcane,62.37,30.06,70.52,101.05,13.1,112.55,6.98,Fertilize
Maize,41.1,26.13,64.67,80.02,45.48,78.17,6.79,Monitor
Wheat,41.53,21.45,63.31,67.32,40.75,74.74,6.53,Optimal
Soybean,19.3,24.49,23.6,37.14,46.52,84.24,6.33,Irrigate
Potato,80.6,19.51,88.9,91.28,63.32,117.81,5.61,Harvest
Sugarcane,91.9,31.58,103.0,123.61,48.92,123.93,6.79,Harvest
Wheat,46.72,32.3,94.9,65.24,37.12,65.83,6.54,Apply Pesticide
Tomato,46.1,24.64,70.79,69.47,47.01,89.25,6.38,Monitor
Tomato,88.1,24.88,95.6,90.77,54.32,103.89,6.74,Harvest
Tomato,57.36,23.01,67.31,78.9,53.18,97.84,6.26,Optimal
Maize,53.53,47.2,86.3,96.89,46.77,93.99,6.2,Apply Pesticide
Soybean,52.16,23.74,61.57,5.7,43.06,85.42,6.32,Fertilize
Cotton,38.23,31.12,51.01,57.7,33.65,66.8,6.84,Optimal
Tomato,58.03,23.11,64.83,81.4,49.03,93.45,6.42,Optimal
Rice,75.54,25.09,82.5,86.19,43.12,75.42,6.06,Optimal
Maize,50.89,49.0,92.7,92.55,46.15,92.01,6.65,Apply Pesticide
Maize,56.28,29.2,65.61,97.85,51.28,90.74,6.3,Optimal
Tomato,55.26,26.64,74.33,24.4,52.36,101.84,6.4,Fertilize
Tomato,91.9,26.17,97.1,91.53,58.34,111.66,6.45,Harvest
Tomato,56.74,24.88,74.1,78.89,49.88,95.03,6.67,Optimal
Rice,66.54,26.74,81.08,84.05,21.8,78.58,6.02,Fertilize
Sugarcane,55.4,30.3,70.34,94.44,40.49,90.98,6.77,Monitor
Rice,66.11,25.9,75.66,75.99,43.45,75.82,6.45,Optimal
Tomato,61.04,25.5,67.41,84.83,3.3,94.52,6.38,Fertilize
Potato,79.0,20.79,87.9,87.42,65.29,122.71,5.91,Harvest
Wheat,48.22,20.59,62.86,66.38,41.42,71.32,6.53,Optimal
Sugarcane,90.7,28.39,97.4,118.77,47.98,122.83,6.88,Harvest
Wheat,21.2,19.56,27.1,71.89,38.79,64.96,6.93,Irrigate
Sugarcane,64.16,31.66,77.58,22.9,45.04,100.86,6.73,Fertilize
Rice,67.45,26.63,75.16,75.92,46.3,75.92,6.26,Optimal
Maize,20.9,29.49,35.9,96.27,48.34,96.44,6.34,Irrigate
Sugarcane,66.82,33.07,80.42,60.0,41.93,110.88,6.9,Fertilize
Sugarcane,65.25,32.85,73.65,112.93,45.56,107.94,6.73,Optimal
Sugarcane,69.23,31.51,70.22,109.41,43.74,97.79,6.58,Optimal
Potato,32.5,21.38,33.3,76.3,58.08,113.75,5.72,Irrigate
Wheat,42.94,19.5,63.6,64.96,40.08,69.8,6.89,Optimal
Tomato,64.79,25.12,75.02,87.08,49.82,89.45,6.72,Optimal
Wheat,8.6,22.04,23.2,72.48,37.33,68.6,6.51,Irrigate
Sugarcane,88.3,31.08,101.4,128.3,51.87,116.87,6.61,Harvest
Wheat,46.99,19.45,61.52,65.79,40.05,64.61,6.69,Optimal
Maize,50.96,26.62,67.89,94.07,10.0,87.19,6.43,Fertilize
Wheat,44.51,19.71,60.04,68.51,41.59,74.19,6.96,Optimal
Maize,51.15,26.91,65.79,29.4,47.45,87.11,6.3,Fertilize
Potato,91.9,20.65,91.7,95.72,58.67,132.0,5.84,Harvest
Tomato,64.77,23.14,74.16,39.0,46.38,94.12,6.51,Fertilize
Potato,34.1,20.88,24.6,79.65,54.49,108.51,5.69,Irrigate
Potato,58.15,19.84,66.06,84.75,55.47,107.68,5.79,Optimal
Sugarcane,48.7,33.88,77.71,92.81,38.16,98.96,6.41,Monitor
Rice,73.51,42.4,95.4,84.67,48.07,73.9,6.03,Apply Pesticide
Sugarcane,86.4,31.25,99.8,121.28,48.95,115.73,6.8,Harvest
Maize,55.18,48.9,94.8,92.09,50.41,82.8,6.35,Apply Pesticide
Potato,62.97,38.0,86.5,84.56,58.31,119.84,5.9,Apply Pesticide
Tomato,90.3,22.86,90.8,103.24,54.37,111.17,6.75,Harvest
Tomato,81.4,25.27,87.0,93.42,52.67,111.78,6.49,Harvest
Cotton,41.9,29.33,53.37,61.4,7.0,70.73,7.16,Fertilize
Sugarcane,65.26,43.0,92.3,106.64,47.19,109.48,6.7,Apply Pesticide
Wheat,36.7,20.77,61.96,56.7,36.75,63.5,6.75,Monitor
Potato,64.5,32.4,93.6,84.62,56.21,121.46,5.76,Apply Pesticide
Potato,61.34,21.4,68.53,85.89,53.96,113.01,5.87,Optimal
Tomato,87.0,24.06,86.6,95.73,56.37,102.04,6.72,Harvest
Rice,73.95,27.72,81.19,85.02,42.73,74.61,6.12,Optimal
Tomato,90.4,22.67,96.0,95.47,56.79,102.44,6.51,Harvest
Soybean,53.92,24.29,62.68,39.38,47.04,85.81,6.53,Optimal
Rice,56.2,29.38,81.36,72.22,39.37,73.79,6.21,Monitor
Wheat,46.13,20.25,64.69,27.8,42.76,65.72,6.51,Fertilize
Maize,43.1,26.87,68.02,80.52,48.49,88.58,6.43,Monitor
Maize,56.74,28.41,64.51,48.0,53.27,96.65,6.19,Fertilize
Soybean,38.0,27.67,63.85,34.23,38.44,70.3,6.11,Monitor
Maize,55.71,26.97,65.45,94.55,4.2,87.34,6.21,Fertilize
Maize,56.5,26.06,67.91,101.43,26.1,82.93,6.63,Fertilize
Cotton,10.8,31.94,43.7,57.32,34.67,68.38,6.89,Irrigate
Sugarcane,65.39,29.08,75.88,97.78,45.2,110.47,6.77,Optimal
Maize,28.6,27.27,38.2,94.42,46.27,86.18,6.16,Irrigate
Cotton,37.48,44.0,84.9,61.98,36.34,68.55,7.13,Apply Pesticide
Soybean,34.2,25.83,58.54,34.97,42.36,71.29,6.29,Monitor
Soybean,17.7,24.76,43.7,42.09,41.54,86.02,6.31,Irrigate
Rice,70.08,28.62,79.92,82.59,48.55,75.28,6.14,Optimal
Rice,64.84,44.5,96.6,81.23,45.54,84.01,6.39,Apply Pesticide
Rice,68.94,29.09,77.34,17.7,43.95,80.83,6.13,Fertilize
Rice,64.85,43.5,95.3,86.34,42.1,84.55,6.24,Apply Pesticide
Wheat,10.6,21.81,42.0,74.97,37.18,72.69,6.87,Irrigate
Cotton,59.8,32.56,75.8,73.12,40.51,81.4,7.11,Harvest
Wheat,43.77,20.3,56.53,20.5,43.19,66.18,6.99,Fertilize
Rice,11.5,28.65,42.7,78.67,43.53,75.44,6.08,Irrigate
Rice,89.3,25.13,104.0,90.67,53.43,85.16,6.01,Harvest
Tomato,88.1,24.93,92.0,98.5,59.29,105.61,6.66,Harvest
Tomato,59.08,25.36,69.43,82.88,7.0,98.02,6.74,Fertilize
Soybean,20.3,27.64,37.5,42.53,46.62,83.24,6.28,Irrigate
Maize,85.1,24.71,86.5,115.58,55.6,99.34,6.39,Harvest
Cotton,41.2,49.7,73.6,55.61,34.82,68.24,7.05,Apply Pesticide
Soybean,36.3,23.87,62.15,35.0,39.65,75.14,6.31,Monitor
Potato,62.38,18.92,69.1,11.4,52.16,118.45,5.75,Fertilize
Tomato,12.5,27.5,28.0,83.3,46.58,93.83,6.28,Irrigate
Soybean,68.5,25.52,92.3,45.39,51.3,88.59,6.42,Harvest
Potato,58.66,20.14,73.52,79.86,57.09,113.59,5.68,Optimal
Tomato,63.15,26.4,70.29,87.94,50.45,87.75,6.61,Optimal
Sugarcane,69.06,32.41,72.17,97.35,12.5,108.58,6.63,Fertilize
Cotton,41.95,30.54,51.67,60.32,11.5,69.04,6.91,Fertilize
Tomato,46.5,23.83,63.87,74.89,48.43,82.12,6.22,Monitor
Cotton,41.66,29.07,54.53,55.34,33.99,70.22,6.67,Optimal
Maize,87.2,27.35,84.3,103.24,53.65,104.39,6.5,Harvest
Sugarcane,53.3,31.54,78.0,85.85,43.06,96.7,6.95,Monitor
Tomato,49.8,26.73,63.58,76.86,45.15,87.08,6.51,Monitor
Potato,56.36,18.76,72.72,83.65,53.91,121.93,5.61,Optimal
Wheat,41.92,20.62,59.94,71.32,15.3,72.69,6.73,Fertilize
Soybean,30.0,27.76,42.8,43.1,43.97,77.83,6.3,Irrigate
Potato,36.7,21.31,21.2,78.83,56.76,122.02,5.97,Irrigate
Wheat,73.7,19.51,77.0,76.22,48.31,76.42,6.55,Harvest
Maize,43.1,28.91,62.2,87.36,43.86,86.92,6.09,Monitor
Tomato,64.08,35.4,91.7,79.01,47.45,92.38,6.34,Apply Pesticide
Tomato,58.43,23.0,70.8,88.74,47.75,95.19,6.6,Optimal
Maize,83.3,26.49,83.8,102.12,53.57,99.85,6.53,Harvest
Wheat,45.43,31.3,88.9,74.3,38.57,73.72,6.84,Apply Pesticide
Maize,87.1,26.21,84.3,113.42,51.75,104.7,6.37,Harvest
Rice,15.7,28.66,34.5,79.87,46.04,76.54,6.28,Irrigate
Rice,100.8,27.71,103.5,97.24,47.27,85.86,6.44,Harvest
Tomato,55.95,34.5,86.1,84.09,52.92,93.06,6.39,Apply Pesticide
Potato,45.0,21.24,65.78,67.74,50.23,101.68,5.61,Monitor
Tomato,55.71,24.06,73.95,81.77,52.53,92.26,6.47,Optimal
Cotton,37.45,31.61,58.21,58.42,5.1,67.59,7.1,Fertilize
Tomato,62.27,26.09,71.86,83.85,46.95,96.09,6.55,Optimal
Potato,47.4,21.9,62.87,74.65,48.91,102.9,5.83,Monitor
Sugarcane,62.01,29.66,73.89,99.46,44.3,110.9,6.83,Optimal
Cotton,40.35,29.42,56.73,19.0,33.38,74.49,6.67,Fertilize
Wheat,19.4,22.18,21.2,73.36,39.32,66.19,6.58,Irrigate
Wheat,48.56,21.59,63.43,65.11,42.9,71.26,6.91,Optimal
Potato,43.7,20.07,65.12,69.31,49.57,111.71,6.04,Monitor
Maize,20.2,30.31,30.8,96.1,48.57,92.94,6.48,Irrigate
Maize,87.9,27.97,84.0,101.11,52.26,92.81,6.6,Harvest
Soybean,68.6,23.52,85.2,42.75,46.53,89.41,6.35,Harvest
Wheat,35.2,21.51,60.54,59.84,37.48,67.33,6.78,Monitor
Potato,44.4,19.74,65.59,69.02,46.31,99.98,5.55,Monitor
Maize,39.6,28.69,58.42,82.63,45.65,88.86,6.26,Monitor
Cotton,70.2,31.72,72.7,67.7,41.52,79.96,6.71,Harvest
Tomato,50.2,26.77,66.45,79.32,43.59,88.34,6.69,Monitor
Maize,55.72,26.31,70.1,19.8,52.27,87.31,6.3,Fertilize
Potato,90.4,18.82,91.4,88.89,61.01,121.43,5.74,Harvest
Tomato,64.56,24.9,70.93,78.68,23.4,100.58,6.63,Fertilize
Cotton,38.47,30.2,53.77,14.6,32.82,66.99,7.11,Fertilize
Rice,70.96,28.9,80.97,78.57,46.03,79.47,6.27,Optimal
Soybean,47.61,24.04,62.51,37.4,44.26,78.24,6.42,Optimal
Wheat,44.34,19.42,56.63,64.45,43.01,74.97,6.74,Optimal
Rice,65.74,28.69,81.2,82.29,47.08,79.98,6.04,Optimal
Potato,48.0,20.46,69.52,70.65,48.04,98.32,5.82,Monitor
Soybean,15.1,26.14,32.1,39.17,42.49,82.61,6.34,Irrigate
Rice,75.45,40.3,95.8,74.3,47.46,81.9,6.2,Apply Pesticide
Potato,15.8,22.3,30.1,73.6,53.27,124.13,5.86,Irrigate
Wheat,47.91,34.8,95.4,75.41,39.7,70.73,6.93,Apply Pesticide
Potato,63.73,20.65,69.94,35.0,53.34,109.43,5.59,Fertilize
Tomato,80.8,22.44,96.4,103.26,59.75,108.0,6.7,Harvest
Soybean,47.71,39.4,79.6,40.43,44.92,85.79,6.41,Apply Pesticide
Soybean,51.83,24.64,65.28,40.57,42.82,77.36,6.54,Optimal
Rice,57.9,28.85,78.43,67.83,38.2,74.85,6.24,Monitor
Cotton,40.29,32.0,54.57,59.67,33.69,75.44,7.12,Optimal
Tomato,62.32,40.2,84.1,84.61,48.81,91.25,6.27,Apply Pesticide
Tomato,60.45,26.95,69.84,38.3,51.35,95.87,6.62,Fertilize
Tomato,58.79,24.24,72.71,86.51,19.4,94.86,6.68,Fertilize
Potato,85.6,18.53,88.8,91.8,66.25,136.22,5.56,Harvest
Cotton,69.0,32.6,72.2,65.57,39.83,76.43,7.02,Harvest
Soybean,23.1,28.09,27.8,40.55,43.03,84.87,6.69,Irrigate
Potato,64.44,35.0,93.1,86.03,56.4,113.16,5.7,Apply Pesticide
Rice,102.6,25.39,107.6,86.37,54.1,82.24,6.12,Harvest
Maize,28.4,26.69,38.2,93.26,50.89,87.26,6.23,Irrigate
Wheat,47.67,18.94,55.91,8.9,37.83,70.37,7.0,Fertilize
Cotton,40.86,42.2,95.0,58.6,35.83,66.47,6.8,Apply Pesticide
Sugarcane,60.91,32.78,75.52,56.5,43.68,104.7,6.92,Fertilize
Tomato,91.4,22.4,87.4,102.83,53.52,102.29,6.58,Harvest
Sugarcane,17.9,31.55,26.6,98.37,41.95,106.61,6.99,Irrigate
Maize,54.26,40.3,88.7,98.77,47.23,86.03,6.5,Apply Pesticide
Potato,58.66,21.21,74.73,82.1,53.88,121.29,5.97,Optimal
Maize,16.2,30.97,44.5,90.91,53.16,95.52,6.16,Irrigate
Wheat,44.38,20.01,60.21,66.57,41.21,74.51,6.57,Optimal
Sugarcane,65.57,33.67,75.1,17.9,47.66,110.04,6.69,Fertilize
Wheat,76.4,18.7,78.9,74.95,43.27,71.98,6.75,Harvest
Cotton,43.19,29.99,52.75,61.59,4.4,74.35,6.68,Fertilize
Soybean,47.07,25.35,61.3,38.74,11.4,81.19,6.38,Fertilize
Rice,66.77,28.26,75.99,74.45,22.0,73.92,6.42,Fertilize
Rice,65.4,42.5,95.5,83.72,48.0,78.57,6.3,Apply Pesticide
Potato,84.8,18.84,95.4,92.59,62.19,121.26,5.72,Harvest
Soybean,50.57,39.8,88.2,43.15,45.28,74.53,6.41,Apply Pesticide
Wheat,47.53,20.02,59.91,68.45,43.16,65.65,6.8,Optimal
Sugarcane,64.73,31.08,70.65,38.7,41.91,104.47,6.87,Fertilize
Rice,94.4,24.69,104.2,97.22,51.9,81.21,6.11,Harvest
Potato,48.7,20.58,71.9,73.39,51.04,112.6,5.82,Monitor
Cotton,59.5,28.99,76.3,67.69,37.0,75.7,6.79,Harvest
Cotton,69.3,29.82,77.9,66.82,40.74,74.62,7.11,Harvest
Cotton,64.2,29.67,71.2,64.04,38.7,71.76,6.78,Harvest
Wheat,28.7,22.05,53.81,64.27,36.2,64.46,6.41,Monitor
Soybean,24.8,28.14,21.7,41.42,47.7,86.24,6.26,Irrigate
Maize,30.9,30.63,24.4,101.33,53.31,89.59,6.55,Irrigate
Sugarcane,15.2,32.82,22.1,102.32,46.99,97.36,6.65,Irrigate
Wheat,31.0,19.07,57.26,64.9,38.39,61.68,6.56,Monitor
Potato,49.4,20.69,63.11,65.17,49.45,105.74,5.53,Monitor
Wheat,13.7,21.47,40.7,75.58,42.17,70.64,6.58,Irrigate
Maize,77.2,26.34,81.0,113.71,52.23,104.35,6.48,Harvest
Sugarcane,56.8,30.92,69.86,98.31,37.35,102.91,6.38,Monitor
Maize,57.35,26.56,66.95,90.44,52.05,95.93,6.37,Optimal
Rice,100.5,26.01,102.4,94.84,51.14,93.33,6.18,Harvest
Sugarcane,63.9,43.7,95.4,112.61,47.66,99.31,6.89,Apply Pesticide
Maize,53.46,43.3,85.4,89.91,46.9,95.18,6.33,Apply Pesticide
Maize,54.23,27.91,60.14,96.03,10.4,95.57,6.42,Fertilize
Potato,44.4,21.26,63.74,72.99,50.31,106.99,5.8,Monitor
Tomato,44.6,25.18,67.64,68.89,43.91,86.62,6.54,Monitor
Soybean,19.7,25.22,28.8,41.94,41.67,85.43,6.41,Irrigate
Cotton,28.1,33.6,53.78,48.88,33.03,68.85,6.85,Monitor
Rice,98.4,27.65,101.2,97.45,49.27,94.01,6.35,Harvest
Sugarcane,98.9,31.39,96.9,113.1,53.03,112.71,6.97,Harvest
Potato,52.7,20.67,62.62,74.93,45.82,111.41,5.77,Monitor
Wheat,37.5,19.28,60.98,59.97,35.29,66.55,7.09,Monitor
Wheat,42.39,20.72,56.74,72.26,41.23,69.54,6.55,Optimal
Cotton,8.8,35.19,24.3,59.07,33.76,75.2,6.83,Irrigate
Potato,55.42,30.2,93.0,74.65,57.69,122.5,5.61,Apply Pesticide
Rice,25.2,29.24,24.8,81.81,43.27,84.94,6.45,Irrigate
Rice,68.23,26.3,73.69,34.3,47.34,75.48,6.08,Fertilize
Soybean,14.2,25.48,42.7,37.4,47.74,77.49,6.5,Irrigate
Wheat,38.0,21.53,59.75,60.53,33.51,65.15,6.64,Monitor
Cotton,63.0,30.15,78.0,73.6,41.88,77.78,6.8,Harvest
Cotton,10.2,34.58,38.2,64.08,33.43,69.04,6.79,Irrigate
Potato,13.3,20.2,30.1,74.79,58.98,124.18,5.92,Irrigate
Tomato,63.99,43.6,91.2,80.6,53.41,94.7,6.43,Apply Pesticide
Maize,40.7,28.38,61.58,77.23,43.01,77.45,6.76,Monitor
Maize,16.6,27.17,42.9,90.48,47.15,91.82,6.41,Irrigate
Potato,55.21,37.7,93.9,82.96,52.14,106.76,5.55,Apply Pesticide
Cotton,20.6,31.11,42.5,60.23,33.7,71.22,6.78,Irrigate
Potato,78.8,20.59,97.1,96.15,58.39,132.35,5.67,Harvest
Cotton,39.77,31.52,58.77,60.02,35.01,68.47,7.02,Optimal
Rice,65.23,27.23,86.01,80.3,45.93,82.51,6.23,Optimal
Tomato,63.7,39.1,86.3,79.6,46.74,97.3,6.62,Apply Pesticide
Cotton,28.0,33.31,56.07,55.31,33.13,63.86,7.19,Monitor
Tomato,57.37,26.09,69.32,89.04,46.1,89.66,6.44,Optimal
Sugarcane,64.25,46.1,94.1,107.81,44.61,112.04,6.51,Apply Pesticide
Cotton,37.77,50.9,72.8,60.89,33.98,69.08,6.74,Apply Pesticide
Tomato,13.3,27.51,35.2,82.86,50.53,99.91,6.51,Irrigate
Soybean,48.3,25.42,67.62,7.3,44.4,82.92,6.4,Fertilize
Rice,92.7,27.74,102.9,93.68,50.66,82.25,6.22,Harvest
Potato,47.2,22.08,65.08,73.94,51.73,102.94,5.73,Monitor
Maize,55.53,43.6,87.3,95.81,49.32,86.4,6.48,Apply Pesticide
Cotton,26.5,34.52,53.49,53.28,29.25,64.6,7.03,Monitor
Maize,55.17,26.73,63.18,38.5,46.36,91.28,6.51,Fertilize
Tomato,44.8,23.99,71.49,73.98,46.33,81.97,6.56,Monitor
Potato,92.4,20.15,94.7,88.19,65.39,117.44,5.77,Harvest
Tomato,57.54,26.76,67.96,35.5,50.95,87.85,6.69,Fertilize
Soybean,53.11,26.83,61.32,37.31,45.4,83.74,6.39,Optimal
Potato,59.73,31.6,86.5,83.27,54.97,111.11,5.68,Apply Pesticide
Tomato,61.55,42.8,89.6,88.24,51.63,100.5,6.26,Apply Pesticide
Potato,81.7,18.56,95.4,94.11,65.72,125.24,5.75,Harvest
Wheat,48.43,35.1,77.3,68.65,36.86,71.15,6.92,Apply Pesticide
Wheat,24.4,19.43,44.4,66.62,37.51,70.86,6.52,Irrigate
Sugarcane,66.51,29.35,77.14,107.68,46.22,110.84,6.79,Optimal
Maize,44.2,28.84,58.71,82.63,46.09,85.51,6.71,Monitor
Cotton,60.7,28.14,82.6,72.43,38.57,76.47,7.14,Harvest
Rice,72.35,26.2,79.63,84.12,44.71,78.18,6.25,Optimal
Wheat,44.01,31.5,87.2,74.28,40.13,71.81,6.67,Apply Pesticide
Tomato,64.54,25.93,67.5,90.27,50.29,89.81,6.67,Optimal
Sugarcane,99.3,31.09,90.1,126.72,47.07,119.35,6.82,Harvest
Potato,94.6,20.07,88.8,99.09,65.25,122.78,5.65,Harvest
Wheat,34.9,19.7,54.25,62.22,33.43,65.3,6.95,Monitor
Tomato,61.75,24.91,73.35,82.61,48.16,91.38,6.34,Optimal
Soybean,50.42,25.28,66.34,41.79,20.9,82.71,6.72,Fertilize
Rice,57.0,29.13,80.87,66.28,37.83,78.41,6.28,Monitor
Soybean,46.87,35.9,83.4,42.67,48.45,76.51,6.45,Apply Pesticide
Sugarcane,89.6,32.48,95.7,118.99,49.83,121.74,6.49,Harvest
Cotton,31.0,34.65,51.94,56.01,32.64,60.36,6.58,Monitor
Tomato,63.29,38.4,90.1,86.15,52.25,88.47,6.55,Apply Pesticide
Maize,57.68,42.9,91.3,89.04,49.18,96.73,6.23,Apply Pesticide
Tomato,64.22,26.72,67.18,27.3,49.91,98.18,6.54,Fertilize
Potato,50.9,19.59,65.59,74.65,48.68,114.22,5.88,Monitor
Sugarcane,67.63,33.25,73.6,99.36,41.94,100.23,7.01,Optimal
Maize,44.2,27.41,64.94,80.72,41.67,85.86,6.25,Monitor
Soybean,50.87,35.2,86.7,37.86,43.37,81.8,6.63,Apply Pesticide
Sugarcane,70.03,50.5,97.0,112.34,43.99,112.42,6.66,Apply Pesticide
Potato,59.18,19.62,65.75,85.6,54.89,118.83,5.59,Optimal
Potato,49.9,21.16,62.57,65.56,49.49,104.53,5.59,Monitor
Sugarcane,60.95,32.71,80.19,106.44,45.82,111.22,6.85,Optimal
Rice,93.8,25.81,99.5,95.88,47.15,85.91,6.42,Harvest
Tomato,40.6,24.36,28.0,80.97,49.62,89.21,6.48,Irrigate
Cotton,13.5,32.91,23.4,61.45,33.46,73.68,6.93,Irrigate
Sugarcane,65.61,32.45,76.32,108.34,45.87,102.97,6.53,Optimal
Soybean,17.4,27.31,36.4,39.05,41.46,77.05,6.64,Irrigate
Tomato,93.6,25.0,86.8,101.35,51.83,106.59,6.72,Harvest
Potato,64.41,18.44,74.99,76.3,55.65,110.65,5.9,Optimal
Rice,60.0,26.9,78.2,71.91,41.08,78.49,6.57,Monitor
Soybean,78.9,24.95,92.2,45.33,54.42,86.34,6.33,Harvest
Soybean,10.0,27.32,36.6,40.67,48.36,78.04,6.6,Irrigate
Maize,59.26,29.26,63.91,100.72,46.26,87.32,6.52,Optimal
Rice,71.48,27.58,80.46,74.76,47.41,77.71,6.09,Optimal
Sugarcane,49.2,34.54,76.2,96.93,41.86,98.02,6.45,Monitor
Tomato,91.8,24.7,88.9,99.27,52.06,106.52,6.46,Harvest
Sugarcane,86.0,32.19,96.4,123.88,48.58,108.01,6.9,Harvest
Potato,58.13,37.5,94.7,73.73,56.52,119.91,5.52,Apply Pesticide
Maize,51.44,41.8,80.7,100.57,46.53,95.2,6.57,Apply Pesticide
Soybean,42.2,25.72,58.15,36.81,39.55,79.47,6.54,Monitor
Potato,39.4,19.74,31.7,80.93,50.72,106.13,5.8,Irrigate
Potato,26.3,21.27,29.3,74.03,54.96,114.88,5.54,Irrigate
Rice,56.7,28.69,77.3,74.19,41.65,75.77,6.02,Monitor
Wheat,25.0,19.79,38.1,70.16,37.52,71.7,6.81,Irrigate
Maize,22.7,30.21,33.2,89.94,49.56,96.11,6.48,Irrigate
Soybean,17.7,26.78,32.5,42.19,48.25,84.06,6.26,Irrigate
Potato,61.13,31.8,94.1,83.08,51.56,111.94,5.93,Apply Pesticide
Maize,80.8,28.71,91.1,112.69,54.95,101.63,6.42,Harvest
Soybean,52.94,26.0,68.23,8.0,48.42,85.02,6.53,Fertilize
